torneo,partido,equipo_local,equipo_visitante,goles_local,goles_visitante,posesion_local,tiros_arco_local,intentos_local,faltas_local,tiro_esquina_local,posesion_visitante,tiros_arco_visitante,intentos_visitante,faltas_visitante,tiro_esquina_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,Valor_Local_USD_M,Valor_Visitante_USD_M,resultado
Campeonato 2015,1,Velez Sarsfield,Aldosivi,2,0,,,,,,,,,,,,,,,28.5,8.725,L
Campeonato 2015,2,Racing Club,Rosario Central,0,1,,,,,,,,,,,,,,,29.075,18.35,V
Campeonato 2015,3,San Lorenzo de Almagro,Colon,2,0,,,,,,,,,,,,,,,39.725,12.125,L
Campeonato 2015,4,Gimnasia y Esgrima La Plata,Defensa y Justicia,0,1,,,,,,,,,,,,,,,14.3,12.05,V
Campeonato 2015,5,Godoy Cruz,San Martin (San Juan),1,1,,,,,,,,,,,,,,,21.2,11.25,E
Campeonato 2015,6,Newells,Independiente,2,3,,,,,,,,,,,,,,,32.67,33.525,V
Campeonato 2015,7,Banfield,Temperley,0,1,,,,,,,,,,,,,,,22.925,5.3,V
Campeonato 2015,8,Crucero del Norte,Tigre,0,0,,,,,,,,,,,,,,,4.4,18.5,E
Campeonato 2015,9,Quilmes,Lanus,0,1,,,,,,,,,,,,,,,16.975,30.62,V
Campeonato 2015,10,Union,Huracan,1,0,,,,,,,,,,,,,,,7.95,13.775,L
Campeonato 2015,11,Boca Juniors,Olimpo,3,1,,,,,,,,,,,,,,,80.925,12.97,L
Campeonato 2015,12,Argentinos Juniors,Atletico de Rafaela,2,0,,,,,,,,,,,,,,,12.05,17.075,L
Campeonato 2015,13,Sarmiento,River Plate,1,4,,,,,,,,,,,,,,,8.975,56.25,V
Campeonato 2015,14,Arsenal de Sarandi,Estudiantes de La Plata,0,1,,,,,,,,,,,,,,,27.25,37.65,V
Campeonato 2015,15,Belgrano,Nueva Chicago,3,1,,,,,,,,,,,,,,,13.975,8.15,L
Campeonato 2015,1,Atletico de Rafaela,Banfield,1,4,,,,,,,,,,,,,,,17.075,22.925,V
Campeonato 2015,2,Huracan,Arsenal de Sarandi,1,0,,,,,,,,,,,,,,,13.775,27.25,L
Campeonato 2015,3,Estudiantes de La Plata,Godoy Cruz,2,1,,,,,,,,,,,,,,,37.65,21.2,L
Campeonato 2015,4,Rosario Central,Tigre,2,1,,,,,,,,,,,,,,,18.35,18.5,L
Campeonato 2015,5,Olimpo,Racing Club,0,0,,,,,,,,,,,,,,,12.97,29.075,E
