Temporada,Date,Home,Away,Goles_Local,Goles_Visitante,Resultado_Texto,Resultado_Num,Attendance,Venue,Referee
2016,2016-02-05,Huracan,Atletico de Rafaela,0.0,1.0,Derrota,-1.0,0.0,Estadio Tomás Adolfo Ducó,Pablo Lunati
2016,2016-02-05,Banfield,GimnasiaLP,2.0,0.0,Victoria,1.0,0.0,Estadio Florencio Solá,Néstor Pitana
2016,2016-02-06,Argentinos Juniors,Tigre,1.0,1.0,Empate,0.0,0.0,Estadio Diego Armando Maradona,Jorge Baliño
2016,2016-02-06,Aldosivi,Club Olimpo,3.0,0.0,Victoria,1.0,0.0,Estadio José María Minella,Pedro Argañaraz
2016,2016-02-06,Patronato,San Lorenzo de Almagro,2.0,2.0,Empate,0.0,0.0,Estadio Presbítero Bartolomé Grella,Patricio Loustau
2016,2016-02-06,San Martin SJ,Newell's Old Boys,2.0,1.0,Victoria,1.0,0.0,Estadio Ingeniero Hilario Sánchez,Fernando Espinoza
2016,2016-02-05,Rosario Central,Godoy Cruz,1.0,0.0,Victoria,1.0,0.0,Estadio Dr. Lisandro de la Torre,Ariel Penel
2016,2016-02-07,Defensa y Justicia,Union,2.0,2.0,Empate,0.0,0.0,Estadio Norberto Tito Tomaghello,Juan Pompei
2016,2016-02-07,Independiente,Belgrano,1.0,0.0,Victoria,1.0,0.0,Estadio Libertadores de América,Darío Herrera
2016,2016-02-07,Colon,Arsenal de Sarandi,2.0,1.0,Victoria,1.0,0.0,Estadio Brigadier General Estanislao Lóp...,Mauro Vigliano
2016,2016-02-06,Temperley,Boca Juniors,0.0,0.0,Empate,0.0,0.0,Estadio Alfredo Martín Beranger,Fernando Echenique
2016,2016-02-08,EstudiantesLP,Lanus,0.0,1.0,Derrota,-1.0,0.0,Estadio Ciudad de La Plata,Federico Beligoy
2016,2016-02-08,River Plate,Quilmes,5.0,1.0,Victoria,1.0,0.0,Estadio Monumental Antonio Vespucio Libe...,Fernando Rapallini
2016,2016-02-07,Atle Tucuman,Racing Club,2.0,1.0,Victoria,1.0,0.0,Estadio Monumental Presidente José Fierr...,Silvio Trucco
2016,2016-02-08,Sarmiento,Velez Sarsfield,1.0,0.0,Victoria,1.0,0.0,Estadio Eva Peron de Junín,Diego Abal
2016,2016-02-12,Union,Temperley,3.0,0.0,Victoria,1.0,0.0,Estadio Mario Alberto Kempes,Luís Álvarez
2016,2016-02-12,Arsenal de Sarandi,Banfield,3.0,1.0,Victoria,1.0,0.0,Estadio Julio Humberto Grondona,Juan Pompei
2016,2016-02-13,San Lorenzo de Almagro,Sarmiento,2.0,1.0,Victoria,1.0,0.0,Estadio Pedro Bidegaín,Germán Delfino
2016,2016-02-13,Aldosivi,Argentinos Juniors,3.0,2.0,Victoria,1.0,0.0,Estadio José María Minella,Héctor Paletta
2016,2016-02-13,Atletico de Rafaela,EstudiantesLP,0.0,1.0,Derrota,-1.0,0.0,Estadio Nuevo Monumental,Facundo Tello
2016,2016-02-12,Godoy Cruz,Independiente,1.0,1.0,Empate,0.0,0.0,Estadio Malvinas Argentinas,Fernando Rapallini
2016,2016-02-12,Quilmes,Colon,2.0,4.0,Derrota,-1.0,0.0,Estadio Centenario Dr. José Luis Meiszne...,Fernando Espinoza
2016,2016-02-14,Lanus,Defensa y Justicia,2.0,1.0,Victoria,1.0,0.0,Estadio Ciudad de Lanús,Silvio Trucco
2016,2016-02-14,Rosario Central,Newell's Old Boys,2.0,0.0,Victoria,1.0,0.0,Estadio Dr. Lisandro de la Torre,Patricio Loustau
2016,2016-02-14,GimnasiaLP,Patronato,3.0,2.0,Victoria,1.0,0.0,Estadio Juan Carmelo Zerillo,Darío Herrera
2016,2016-02-14,Boca Juniors,Atle Tucuman,0.0,1.0,Derrota,-1.0,0.0,Estadio Alberto José Armando,Federico Beligoy
2016,2016-02-13,Velez Sarsfield,Club Olimpo,2.0,1.0,Victoria,1.0,0.0,Estadio José Amalfitani,Pablo Lunati
2016,2016-02-13,Racing Club,San Martin SJ,2.0,2.0,Empate,0.0,0.0,Estadio Presidente Juan Domingo Perón,Néstor Pitana
2016,2016-02-14,Belgrano,River Plate,3.0,2.0,Victoria,1.0,0.0,Estadio Julio César Villagra,Diego Abal
2016,2016-02-16,Club Olimpo,San Lorenzo de Almagro,0.0,2.0,Derrota,-1.0,0.0,Estadio Roberto Natalio Carminatti,Néstor Pitana
2016,2016-02-16,Banfield,Quilmes,1.0,1.0,Empate,0.0,0.0,Estadio Florencio Solá,Pablo Díaz
2016,2016-02-17,Newell's Old Boys,Racing Club,5.0,0.0,Victoria,1.0,0.0,Estadio Marcelo Alberto Bielsa,Juan Pompei
2016,2016-02-17,Defensa y Justicia,Atletico de Rafaela,4.0,1.0,Victoria,1.0,0.0,Estadio Norberto Tito Tomaghello,Mauro Vigliano
2016,2016-02-17,Patronato,Arsenal de Sarandi,0.0,0.0,Empate,0.0,0.0,Estadio Presbítero Bartolomé Grella,Nicolás Lamolina
2016,2016-02-17,Independiente,Rosario Central,0.0,2.0,Derrota,-1.0,0.0,Estadio Libertadores de América,Jorge Baliño
2016,2016-02-16,Argentinos Juniors,Velez Sarsfield,0.0,3.0,Derrota,-1.0,0.0,Estadio Diego Armando Maradona,Fernando Rapallini
2016,2016-02-18,EstudiantesLP,Tigre,1.0,1.0,Empate,0.0,0.0,Estadio Julio Humberto Grondona,Patricio Loustau
2016,2016-02-18,Temperley,Lanus,0.0,1.0,Derrota,-1.0,0.0,Estadio Alfredo Martín Beranger,Diego Abal
2016,2016-02-18,Colon,Belgrano,3.0,0.0,Victoria,1.0,0.0,Estadio Brigadier General Estanislao Lóp...,Federico Beligoy
2016,2016-02-17,San Martin SJ,Boca Juniors,0.0,1.0,Derrota,-1.0,0.0,Estadio Ingeniero Hilario Sánchez,Silvio Trucco
2016,2016-02-17,Sarmiento,GimnasiaLP,1.0,3.0,Derrota,-1.0,0.0,Estadio Eva Peron de Junín,Pablo Lunati
2016,2016-02-18,Atle Tucuman,Union,2.0,0.0,Victoria,1.0,0.0,Estadio Monumental Presidente José Fierr...,Fernando Espinoza
2016,2016-02-18,River Plate,Godoy Cruz,1.0,2.0,Derrota,-1.0,0.0,Estadio Monumental Antonio Vespucio Libe...,Germán Delfino
2016,2016-02-20,San Lorenzo de Almagro,Velez Sarsfield,3.0,2.0,Victoria,1.0,0.0,Estadio Pedro Bidegaín,Federico Beligoy
2016,2016-02-20,GimnasiaLP,Club Olimpo,1.0,0.0,Victoria,1.0,0.0,Estadio Juan Carmelo Zerillo,Patricio Loustau
2016,2016-02-21,Tigre,Defensa y Justicia,0.0,2.0,Derrota,-1.0,0.0,Estadio José Dellagiovanna,Fernando Echenique
2016,2016-02-21,Belgrano,Banfield,0.0,0.0,Empate,0.0,0.0,Estadio Mario Alberto Kempes,Silvio Trucco
2016,2016-02-21,Godoy Cruz,Colon,4.0,1.0,Victoria,1.0,0.0,Estadio Malvinas Argentinas,Pablo Lunati
2016,2016-02-21,Independiente,Racing Club,1.0,1.0,Empate,0.0,0.0,Estadio Libertadores de América,Diego Abal
2016,2016-02-20,Boca Juniors,Newell's Old Boys,4.0,1.0,Victoria,1.0,0.0,Estadio Alberto José Armando,Fernando Espinoza
2016,2016-02-22,Quilmes,Patronato,2.0,2.0,Empate,0.0,0.0,Estadio Centenario Dr. José Luis Meiszne...,Pedro Argañaraz
2016,2016-02-21,Rosario Central,River Plate,3.0,3.0,Empate,0.0,0.0,Estadio Dr. Lisandro de la Torre,Mauro Vigliano
2016,2016-02-23,Atletico de Rafaela,Temperley,0.0,2.0,Derrota,-1.0,0.0,Estadio Nuevo Monumental,Darío Herrera
2016,2016-02-22,Union,San Martin SJ,1.0,1.0,Empate,0.0,0.0,Estadio 15 de Abril,Germán Delfino
2016,2016-02-22,Arsenal de Sarandi,Sarmiento,2.0,0.0,Victoria,1.0,0.0,Estadio Julio Humberto Grondona,Fernando Rapallini
