Club,Temporada,Competición,Partidos,lleno,espectadores,promedio
Boca Juniors,25/26,Torneo Apertura,7,0,0,0.0
Boca Juniors,24/25,Torneo Apertura,16,0,0,0.0
Boca Juniors,23/24,Copa de la Liga Profesional de Fútbol (- 23/24),20,19,1.115.800,55.79
Boca Juniors,22/23,Liga Profesional de Fútbol (- 23/24),21,1,851.600,56.773
Boca Juniors,21/22,Copa de la Liga Profesional de Fútbol (- 23/24),21,2,114.400,57.2
Boca Juniors,20/21,Copa de la Liga Profesional de Fútbol (- 23/24),19,2,236.000,39.333
Boca Juniors,19/20,Superliga Argentina,15,1,102.200,51.1
Boca Juniors,18/19,Superliga Argentina,12,0,532.000,44.333
Boca Juniors,17/18,Superliga Argentina,14,0,35.000,35.0
Boca Juniors,16/17,Primera División,15,0,45.000,45.0
Boca Juniors,15/16,Primera División,8,3,253.400,42.233
Boca Juniors,14/15,Torneo de Transición,25,2,529.700,44.142
Boca Juniors,13/14,Torneo Inicial,19,2,646.000,40.375
Boca Juniors,12/13,Torneo Inicial,19,1,271.000,38.714
Boca Juniors,11/12,Torneo Apertura,19,0,156.000,39.0
Boca Juniors,10/11,Torneo Apertura,19,2,724.450,38.129
Boca Juniors,09/10,Torneo Apertura,19,0,641.700,33.774
Boca Juniors,08/09,Torneo Apertura,19,0,727.000,40.389
Boca Juniors,07/08,Torneo Apertura,19,0,648.000,38.118
Boca Juniors,06/07,Torneo Apertura,19,1,794.000,41.789
Boca Juniors,05/06,Torneo Apertura,19,0,818.000,43.053
Boca Juniors,04/05,Torneo Clausura,19,0,694.000,36.526
Boca Juniors,03/04,Torneo Clausura,19,0,789.000,46.412
Boca Juniors,02/03,Torneo Clausura,19,0,615.000,36.176
Boca Juniors,01/02,Torneo Apertura,19,0,420.000,24.706
Boca Juniors,00/01,Torneo Apertura,19,1,54.000,54.0
Boca Juniors,99/00,Torneo Apertura,19,0,136.150,12.377
Boca Juniors,98/99,Torneo Clausura,4,0,27.169,27.169
Boca Juniors,97/98,Torneo Apertura,3,0,0,0.0
River Plate,25/26,Torneo Apertura,4,3,0,0.0
River Plate,24/25,Torneo Apertura,16,1,1.360.288,85.018
River Plate,23/24,Copa de la Liga Profesional de Fútbol (- 23/24),21,15,1.764.521,84.025
River Plate,22/23,Liga Profesional de Fútbol (- 23/24),20,5,1.392.401,81.906
River Plate,21/22,Copa de la Liga Profesional de Fútbol (- 23/24),20,5,300.621,75.155
River Plate,20/21,Copa de la Liga Profesional de Fútbol (- 23/24),19,0,271.000,45.167
River Plate,19/20,Superliga Argentina,14,0,0,0.0
River Plate,18/19,Superliga Argentina,13,0,532.000,40.923
River Plate,17/18,Superliga Argentina,13,0,128.000,32.0
River Plate,16/17,Primera División,15,0,75.000,37.5
River Plate,15/16,Primera División,8,1,353.580,50.511
River Plate,14/15,Torneo de Transición,24,0,733.000,48.867
River Plate,13/14,Torneo Inicial,19,0,805.645,42.402
River Plate,12/13,Torneo Inicial,19,0,935.000,49.211
River Plate,11/12,Primera B Nacional,19,0,310.000,44.286
River Plate,10/11,Torneo Apertura,19,0,719.550,51.396
River Plate,09/10,Torneo Apertura,19,0,668.500,35.184
River Plate,08/09,Torneo Apertura,19,0,643.000,33.842
River Plate,07/08,Torneo Apertura,19,0,628.000,33.053
River Plate,06/07,Torneo Apertura,19,0,601.000,37.563
River Plate,05/06,Torneo Apertura,19,0,620.000,32.632
River Plate,04/05,Torneo Apertura,19,0,506.000,42.167
River Plate,03/04,Torneo Clausura,19,0,151.000,30.2
River Plate,02/03,Torneo Apertura,19,0,557.290,32.782
River Plate,01/02,Torneo Clausura,19,0,398.079,22.116
River Plate,00/01,Torneo Clausura,19,0,65.000,65.0
River Plate,99/00,Torneo Apertura,19,0,285.256,19.017
River Plate,98/99,Torneo Apertura,19,0,87.031,17.406
River Plate,97/98,Torneo Clausura,4,1,65.000,65.0
Racing Club,25/26,Torneo Apertura,4,0,0.0,0.0
Racing Club,24/25,Torneo Apertura,16,0,0.0,0.0
Racing Club,23/24,Copa de la Liga Profesional de Fútbol (- 23/24),20,1,897.381,44.869
Racing Club,22/23,Liga Profesional de Fútbol (- 23/24),21,2,521.893,47.445
Racing Club,21/22,Copa de la Liga Profesional de Fútbol (- 23/24),21,2,121.0,40.333
Racing Club,20/21,Copa de la Liga Profesional de Fútbol (- 23/24),19,0,153.0,25.5
Racing Club,19/20,Superliga Argentina,14,0,0.0,0.0
Racing Club,18/19,Superliga Argentina,13,2,518.778,39.906
Racing Club,17/18,Superliga Argentina,13,0,20.0,20.0
Racing Club,16/17,Primera División,15,0,45.2,22.6
Racing Club,15/16,Primera División,8,1,203.989,33.998
Racing Club,14/15,Torneo de Transición,24,0,416.516,32.04
Racing Club,13/14,Torneo Inicial,19,0,360.0,25.714
Racing Club,12/13,Torneo Inicial,19,0,93.0,31.0
Racing Club,11/12,Torneo Apertura,19,0,88.0,22.0
Racing Club,10/11,Torneo Apertura,19,0,334.0,33.4
Racing Club,09/10,Torneo Apertura,19,0,561.0,29.526
Racing Club,08/09,Torneo Apertura,19,0,530.0,27.895
Racing Club,07/08,Torneo Apertura,19,0,424.0,24.941
Racing Club,06/07,Torneo Apertura,19,0,452.0,26.588
Racing Club,05/06,Torneo Apertura,19,0,379.0,19.947
Racing Club,04/05,Torneo Apertura,19,0,272.0,27.2
Racing Club,03/04,Torneo Clausura,19,0,213.0,21.3
Racing Club,02/03,Torneo Clausura,19,0,327.5,21.833
Racing Club,01/02,Torneo Apertura,19,0,499.5,33.3
Racing Club,00/01,Torneo Clausura,19,0,0.0,0.0
Racing Club,99/00,Torneo Clausura,17,0,85.892,6.135
Racing Club,98/99,Torneo Apertura,2,0,15.006,15.006
Independiente,17/18,Schröder-Liga Saar,17,0,3.05,179.0
Independiente,16/17,Schröder-Liga Saar,16,0,3.82,239.0
Independiente,15/16,Schröder-Liga Saar,17,0,3.05,179.0
Independiente,14/15,Schröder-Liga Saar,17,0,2.75,162.0
Independiente,13/14,Schröder-Liga Saar,17,0,0.0,0.0
Independiente,12/13,Schröder-Liga Saar,17,0,0.0,0.0
Independiente,11/12,Schröder-Liga Saar,17,0,0.0,0.0
Independiente,10/11,Schröder-Liga Saar,1,0,0.0,0.0
Independiente,69/70,Regionalliga Südwest (63/64 - 73/74),15,0,18.1,1.207
Independiente,67/68,Regionalliga Südwest (63/64 - 73/74),15,0,21.2,1.413
San Lorenzo,25/26,Torneo Apertura,5,0,0.0,0.0
San Lorenzo,24/25,Torneo Apertura,16,0,0.0,0.0
San Lorenzo,23/24,Copa de la Liga Profesional de Fútbol (- 23/24),20,2,820.555,41.028
San Lorenzo,22/23,Liga Profesional de Fútbol (- 23/24),21,3,360.651,45.081
San Lorenzo,21/22,Copa de la Liga Profesional de Fútbol (- 23/24),21,0,35.0,35.0
San Lorenzo,20/21,Copa de la Liga Profesional de Fútbol (- 23/24),19,0,134.0,22.333
San Lorenzo,19/20,Superliga Argentina,15,0,25.0,25.0
San Lorenzo,18/19,Superliga Argentina,12,0,255.0,21.25
San Lorenzo,17/18,Superliga Argentina,14,0,85.0,21.25
San Lorenzo,16/17,Primera División,15,0,36.0,18.0
San Lorenzo,15/16,Primera División,8,1,187.349,31.225
San Lorenzo,14/15,Torneo de Transición,25,0,192.0,24.0
San Lorenzo,13/14,Torneo Inicial,19,1,437.494,25.735
San Lorenzo,12/13,Torneo Inicial,19,0,145.0,29.0
San Lorenzo,11/12,Torneo Apertura,19,0,63.0,21.0
San Lorenzo,10/11,Torneo Apertura,19,0,343.5,26.423
San Lorenzo,09/10,Torneo Apertura,19,0,425.44,22.392
San Lorenzo,08/09,Torneo Apertura,19,0,469.0,24.684
San Lorenzo,07/08,Torneo Apertura,19,0,368.0,20.444
San Lorenzo,06/07,Torneo Apertura,19,0,430.0,26.875
San Lorenzo,05/06,Torneo Apertura,19,0,389.0,20.474
San Lorenzo,04/05,Torneo Apertura,19,0,203.0,20.3
San Lorenzo,03/04,Torneo Clausura,19,0,210.0,21.0
San Lorenzo,02/03,Torneo Clausura,19,0,280.0,16.471
San Lorenzo,01/02,Torneo Clausura,19,0,218.0,14.533
San Lorenzo,00/01,Torneo Apertura,19,0,0.0,0.0
San Lorenzo,99/00,Torneo Clausura,17,0,97.418,8.118
San Lorenzo,98/99,Torneo Clausura,1,0,0.0,0.0
