Temporada,Date,Home,Away,Goles_Local,Goles_Visitante,Resultado_Texto,Resultado_Num,Attendance,Venue,Referee
2016,2016-02-05,Huracán,Atlético Rafaela,0.0,1.0,Derrota,-1.0,0.0,Estadio Tomás Adolfo Ducó,Pablo Lunati
2016,2016-02-05,Banfield,Gimnasia–LP,2.0,0.0,Victoria,1.0,0.0,Estadio Florencio Solá,Néstor Pitana
2016,2016-02-06,Arg Juniors,Tigre,1.0,1.0,Empate,0.0,0.0,Estadio Diego Armando Maradona,Jorge Baliño
2016,2016-02-06,Aldosivi,Club Olimpo,3.0,0.0,Victoria,1.0,0.0,Estadio José María Minella,Pedro Argañaraz
2016,2016-02-06,Patronato,San Lorenzo,2.0,2.0,Empate,0.0,0.0,Estadio Presbítero Bartolomé Grella,Patricio Loustau
2016,2016-02-06,San Martín SJ,Newell's Old Boys,2.0,1.0,Victoria,1.0,0.0,Estadio Ingeniero Hilario Sánchez,Fernando Espinoza
2016,2016-02-05,Rosario Central,Godoy Cruz,1.0,0.0,Victoria,1.0,0.0,Estadio Dr. Lisandro de la Torre,Ariel Penel
2016,2016-02-07,Defensa y Justicia,Unión,2.0,2.0,Empate,0.0,0.0,Estadio Norberto Tito Tomaghello,Juan Pompei
2016,2016-02-07,Independiente,Belgrano,1.0,0.0,Victoria,1.0,0.0,Estadio Libertadores de América,Darío Herrera
2016,2016-02-07,Colón,Arsenal,2.0,1.0,Victoria,1.0,0.0,Estadio Brigadier General Estanislao Lóp...,Mauro Vigliano
2016,2016-02-06,Temperley,Boca Juniors,0.0,0.0,Empate,0.0,0.0,Estadio Alfredo Martín Beranger,Fernando Echenique
2016,2016-02-08,Estudiantes–LP,Lanús,0.0,1.0,Derrota,-1.0,0.0,Estadio Ciudad de La Plata,Federico Beligoy
2016,2016-02-08,River Plate,Quilmes,5.0,1.0,Victoria,1.0,0.0,Estadio Monumental Antonio Vespucio Libe...,Fernando Rapallini
2016,2016-02-07,Atlé Tucumán,Racing Club,2.0,1.0,Victoria,1.0,0.0,Estadio Monumental Presidente José Fierr...,Silvio Trucco
2016,2016-02-08,Sarmiento,Vélez Sarsfield,1.0,0.0,Victoria,1.0,0.0,Estadio Eva Peron de Junín,Diego Abal
2016,2016-02-12,Unión,Temperley,3.0,0.0,Victoria,1.0,0.0,Estadio Mario Alberto Kempes,Luís Álvarez
2016,2016-02-12,Arsenal,Banfield,3.0,1.0,Victoria,1.0,0.0,Estadio Julio Humberto Grondona,Juan Pompei
2016,2016-02-13,San Lorenzo,Sarmiento,2.0,1.0,Victoria,1.0,0.0,Estadio Pedro Bidegaín,Germán Delfino
2016,2016-02-13,Aldosivi,Arg Juniors,3.0,2.0,Victoria,1.0,0.0,Estadio José María Minella,Héctor Paletta
2016,2016-02-13,Atlético Rafaela,Estudiantes–LP,0.0,1.0,Derrota,-1.0,0.0,Estadio Nuevo Monumental,Facundo Tello
2016,2016-02-12,Godoy Cruz,Independiente,1.0,1.0,Empate,0.0,0.0,Estadio Malvinas Argentinas,Fernando Rapallini
2016,2016-02-12,Quilmes,Colón,2.0,4.0,Derrota,-1.0,0.0,Estadio Centenario Dr. José Luis Meiszne...,Fernando Espinoza
2016,2016-02-14,Lanús,Defensa y Justicia,2.0,1.0,Victoria,1.0,0.0,Estadio Ciudad de Lanús,Silvio Trucco
2016,2016-02-14,Rosario Central,Newell's Old Boys,2.0,0.0,Victoria,1.0,0.0,Estadio Dr. Lisandro de la Torre,Patricio Loustau
2016,2016-02-14,Gimnasia–LP,Patronato,3.0,2.0,Victoria,1.0,0.0,Estadio Juan Carmelo Zerillo,Darío Herrera
2016,2016-02-14,Boca Juniors,Atlé Tucumán,0.0,1.0,Derrota,-1.0,0.0,Estadio Alberto José Armando,Federico Beligoy
2016,2016-02-13,Vélez Sarsfield,Club Olimpo,2.0,1.0,Victoria,1.0,0.0,Estadio José Amalfitani,Pablo Lunati
2016,2016-02-13,Racing Club,San Martín SJ,2.0,2.0,Empate,0.0,0.0,Estadio Presidente Juan Domingo Perón,Néstor Pitana
2016,2016-02-14,Belgrano,River Plate,3.0,2.0,Victoria,1.0,0.0,Estadio Julio César Villagra,Diego Abal
2016,2016-02-16,Club Olimpo,San Lorenzo,0.0,2.0,Derrota,-1.0,0.0,Estadio Roberto Natalio Carminatti,Néstor Pitana
2016,2016-02-16,Banfield,Quilmes,1.0,1.0,Empate,0.0,0.0,Estadio Florencio Solá,Pablo Díaz
2016,2016-02-17,Newell's Old Boys,Racing Club,5.0,0.0,Victoria,1.0,0.0,Estadio Marcelo Alberto Bielsa,Juan Pompei
2016,2016-02-17,Defensa y Justicia,Atlético Rafaela,4.0,1.0,Victoria,1.0,0.0,Estadio Norberto Tito Tomaghello,Mauro Vigliano
2016,2016-02-17,Patronato,Arsenal,0.0,0.0,Empate,0.0,0.0,Estadio Presbítero Bartolomé Grella,Nicolás Lamolina
2016,2016-02-17,Independiente,Rosario Central,0.0,2.0,Derrota,-1.0,0.0,Estadio Libertadores de América,Jorge Baliño
2016,2016-02-16,Arg Juniors,Vélez Sarsfield,0.0,3.0,Derrota,-1.0,0.0,Estadio Diego Armando Maradona,Fernando Rapallini
2016,2016-02-18,Estudiantes–LP,Tigre,1.0,1.0,Empate,0.0,0.0,Estadio Julio Humberto Grondona,Patricio Loustau
2016,2016-02-18,Temperley,Lanús,0.0,1.0,Derrota,-1.0,0.0,Estadio Alfredo Martín Beranger,Diego Abal
2016,2016-02-18,Colón,Belgrano,3.0,0.0,Victoria,1.0,0.0,Estadio Brigadier General Estanislao Lóp...,Federico Beligoy
